Nome_Escola,REDE,NO_DISTRITO,ID_LATITUDE,ID_LONGITUDE,Municipio,ANO_CENSO,PK_COD_ENTIDADE,ID_DEPENDENCIA_ADM,Dependencia_Administrativa,UF,Endereco,Nr_Endereco,Complemento_Endereco,Bairro,CEP,DDD,Telefone,Telefone_Publico_1,Fax,Correio_Eletronico,Situacao_Funcionamento,DT_ANO_LETIVO_INICIO,DT_ANO_LETIVO_TERMINO,FINSLUCRATIVOS,MOD_ATIV_COMPLEMENTAR,FUNC_PREDIO_ESCOLAR,FUNC_SALAS_EMPRESA,FUNC_PRISIONAL,FUNC_TEMPLO_IGREJA,FUNC_CASA_PROFESSOR,FUNC_GALPAO,FUNC_OUTROS,FUNC_SALAS_OUTRA_ESC,NUM_CNPJ_ESCOLA_PRIVADA,NUM_CNPJ_UNIDADE_EXECUTORA,CONVENIADA_PP,TIPO_CONVENIO_PODER_PUBLICO,ACESSIBILIDADE,REFEITORIO,DESPENSA,AUDITORIO,LABORATORIO_INFORMATICA,LABORATORIO_CIENCIAS,QUADRA_ESPORTES_COBERTA,QUADRA_ESPORTES_DESCOBERTA,PATIO_COBERTO,PATIO_DESCOBERTO,PARQUE_INFANTIL,BIBLIOTECA,BERCARIO,SANITARIO_DENTRO_PREDIO,SANITARIO_FORA_PREDIO,BANHEIRO_CHUVEIRO,NUM_SALAS_EXISTENTES,NUM_SALAS_UTILIZADAS,SALA_LEITURA,AREA_VERDE,NUM_FUNCIONARIOS,ALIMENTACAO,AGUA_FILTRADA,AGUA_REDE_PUBLICA,AGUA_POCO_ARTESIANO,AGUA_CACIMBA,AGUA_FONTE_RIO,AGUA_INEXISTENTE,ENERGIA_REDE_PUBLICA,ENERGIA_GERADOR,ESGOTO_REDE_PUBLICA,ESGOTO_FOSSA,ESGOTO_INEXISTENTE,INTERNET,COMPUTADORES,NUM_COMPUTADORES,COMPUSOALUNOS,EQUIP_DVD,EQUIP_IMPRESSORA,EQUIP_SOM,EQUIP_MULTIMIDIA,EQUIP_FAX,EQUIP_FOTO,EQUIP_PARABOLICA,EQUIP_COPIADORA,EQUIP_RETRO,EQUIP_TV,EQUIP_VIDEOCASSETE,MATERIAL_ESP_NAO_UTILIZA,MATERIAL_ESP_QUILOMBOLA,MATERIAL_ESP_INDIGENA,EDUCACAO_INDIGENA,LINGUA_INDIGENA,LINGUA_PORTUGUESA,ESPACO_TURMA_PBA,ABRE_FINAL_SEMANA,MOD_ENS_REGULAR,MOD_EDUC_ESPECIAL,MOD_EJA,MATTOTAL,MATEI,MATCRECHE,MATPRE,MATEF,MATEFI,MATEF1,MATEF2,MATEF3,MATEF4,MATEF5,MATEF6,MATEF7,MATEF8,MATEF14AI,MATEF58AF,MATS,MAT1S,MAT2S,MAT3S,MAT4S,MAT5S,MAT6S,MAT7S,MAT8S,MATA,MAT1A,MAT2A,MAT3A,MAT4A,MAT5A,MAT6A,MAT7A,MAT8A,MAT9A,MATEM,MATEM1,MATEM2,MATEM3,MATEM4,MATEMNS,MATEM_EM,MATEM1_EM,MATEM2_EM,MATEM3_EM,MATEM4_EM,MATEMNS_EM,MATEM_I,MATEM1_I,MATEM2_I,MATEM3_I,MATEM4_I,MATEMNS_I,MATEM_N,MATEM1_N,MATEM2_N,MATEM3_N,MATEM4_N,MATEP,MATEPCONC,MATEPSUBSEQ,MATEJA,MATEJAEF,MATEJAEM,MATEJAP,MATEJAPEF,MATEJAP14,MATEJAP58,MATEJAPPJ,MATEJAPEM,MATEJASP,MATEJASPEF,MATEJASP14,MATEJASP58,MATEJASPEM,MATEJAEPEF,MATEJAEPNM,MATEJASPEPEF,MATEJASPEPNM,MATEEINCL,MATESPTOT,MATESP,MATESPEXCLUS,MATESPCLESP
REIKI LUZ DA NOVA ERA COLEGIO,Privada,ITAIM PAULISTA,-46.3664076,-23.5067022,SAO PAULO,2012,35266930,4,Privada,São Paulo,RUA DESEMBARGADOR ISNARD DOS REIS,598,,CIDADE KEMEL,8130000,11,29639310,,,,Em Atividade,23/1/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,5752033000101,5752033000101,Não,,Sim,Não,Não,Não,Não,Não,,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,10,10,Não,Sim,12,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,15,14,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,126,67,31,36,59,19,20,10,8,2,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,59,19,20,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
RECREANDO NUCLEO EDUCACIONAL,Privada,ITAIM PAULISTA,-46.41469294,-23.4891759,SAO PAULO,2012,35432520,4,Privada,São Paulo,RUA FRANCISCO ANTONIO MEIRA,61,,JARDIM MAIA,8180270,11,25816014,,,VN.GUTIERREZ@HOTMAIL.COM,Em Atividade,1/2/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,7021521000174,7021521000174,Não,,Não,Não,Não,Não,Não,Não,,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,6,5,Não,Não,11,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,,Não,0,0,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,65,65,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIVERSO MAGICO KIDS NUCLEO DE RECREACAO,Privada,ITAQUERA,-46.44037523,-23.53396991,SAO PAULO,2012,35199084,4,Privada,São Paulo,RUA INACIO ALTINI,208,,CONJUNTO RESIDENCIAL JOSE BONIFACIO,8250500,11,22864960,20711311,22860339,ESCOLAUNIVERSOMAGICO@HOTMAIL.COM,Em Atividade,1/2/2012,13/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,4261890000146,4261890000146,Não,,Não,Não,Não,Não,Sim,Não,,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,6,6,Não,Não,11,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,4,3,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,59,59,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA MARIA DE NAZARE COLEGIO UNIDADE I,Privada,CIDADE LIDER,-46.509929,-23.5547948,SAO PAULO,2012,35150733,4,Privada,São Paulo,RUA UACUMA,371,,JARDIM SANTA MARIA,3575000,11,27246593,,,,Em Atividade,31/1/2012,14/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,282029000294,282029000294,Não,,Sim,Não,Não,Não,Sim,Não,,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,12,12,Não,Não,44,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,27,18,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,413,108,31,77,244,29,29,40,23,18,26,36,17,26,139,105,0,0,0,0,0,0,0,0,0,244,29,29,40,23,18,26,36,17,26,61,22,19,20,0,0,61,22,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
MIRANTE COLEGIO,Privada,PENHA,-46.5373955,-23.5267927,SAO PAULO,2012,35809573,4,Privada,São Paulo,RUA CONCEICAO PEREIRA,325,,PENHA,3642040,11,26472103,,,COLEGIOMIRANTE@COLEGIOMIRANTE.COM.BR,Em Atividade,26/1/2012,17/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,67638411000188,67638411000188,Não,,Não,Não,Não,Não,Sim,Não,,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,11,11,Não,Não,23,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,18,15,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,125,59,31,28,66,15,18,13,10,10,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,66,15,18,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDEAL SP UNIDADE I E II COLEGIO,Privada,SACOMA,-46.600508,-23.6139787,SAO PAULO,2012,35151841,4,Privada,São Paulo,R SALVADOR PIRES DE LIMA,63,,SACOMA,4248000,11,29150351,,,PEDAGOGICO@COLEGIOIDEALSP.COM.BR,Em Atividade,31/1/2012,12/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,57752990000301,57752990000301,Não,,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,23,23,Não,Não,80,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,41,14,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,466,41,31,10,360,18,48,42,44,44,53,51,34,26,196,164,0,0,0,0,0,0,0,0,0,360,18,48,42,44,44,53,51,34,26,65,29,20,16,0,0,65,29,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
DESAFIO ESCOLA DE EDUCACAO,Privada,VILA GUILHERME,-46.6020746,-23.5083091,SAO PAULO,2012,35292771,4,Privada,São Paulo,RUA CORONEL JORDAO,45,,VILA PAIVA,2075030,11,29096000,,,,Em Atividade,30/1/2012,12/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,1318332000181,1318332000181,Não,,Sim,Não,Não,Não,Não,Não,,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,9,9,Não,Não,11,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,2,0,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,95,70,31,39,25,9,10,4,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,9,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
SANTA RITA ESCOLA,Privada,VILA GUILHERME,-46.60599075,-23.50737032,SAO PAULO,2012,35177957,4,Privada,São Paulo,RUA MARIETA DA SILVA,300,,CARANDIRU,2066030,11,29092013,,,ESCOLASANTARITA2010@HOTMAIL.COM,Em Atividade,4/1/2012,14/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,741234000190,741234000190,Não,,Sim,Não,Não,Não,Não,Não,,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,10,10,Não,Sim,16,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,8,5,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,51,45,31,14,6,3,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEIDY CENTRO REC E EDUC INFANTIL,Privada,SAUDE,-46.6342306,-23.6110358,SAO PAULO,2012,35162735,4,Privada,São Paulo,RUA BERTIOGA,320,326,CHACARA INGLESA,4141100,11,55892529,,,,Em Atividade,30/1/2012,14/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,51931210000134,51931210000134,Não,,Sim,Sim,Não,Não,Sim,Não,,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,6,6,Não,Não,21,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,7,6,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,67,47,31,16,20,7,5,2,6,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,7,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
MARCO POLO COLEGIO,Privada,VILA MARIANA,-46.6487565,-23.5830904,SAO PAULO,2012,35138538,4,Privada,São Paulo,RUA PELOTAS,579,,VILA MARIANA,4012002,11,50842242,50851147,,INFO@COLEGIOMARCOPOLO.COM.BR,Em Atividade,30/1/2012,20/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,50610757000175,50610757000175,Não,,Não,Sim,Não,Não,Sim,Sim,,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,12,12,Não,Não,36,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,19,10,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,147,54,31,23,93,16,12,5,8,15,7,9,7,14,56,37,0,0,0,0,0,0,0,0,0,93,16,12,5,8,15,7,9,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
RUMO CERTO ESCOLA,Privada,JABAQUARA,-46.648795,-23.6544885,SAO PAULO,2012,35810022,4,Privada,São Paulo,RUA GENARO DE CARVALHO,466,,V.CAMPESTRE,4377220,11,56778303,,,,Em Atividade,1/2/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,73623357000108,73623357000108,Não,,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,7,7,Não,Sim,17,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,8,8,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,87,54,31,23,33,9,12,7,5,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,33,9,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILEADE ESCOLA DE EDUCACAO INFANTIL,Privada,LIMAO,-46.67340868,-23.50084957,SAO PAULO,2012,35349324,4,Privada,São Paulo,AVENIDA DEPUTADO EMILIO CARLOS,418,,LIMAO,2721100,11,38584685,,,ESCOLAGILEADE@HOTMAIL.COM,Em Atividade,30/1/2012,14/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,7970492000197,7970492000197,Não,,Não,Não,Não,Não,Não,Não,,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,5,5,Não,Não,15,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,2,0,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,66,66,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CATAMARA COLEGIO,Privada,ITAIM BIBI,-46.6753678,-23.5896038,SAO PAULO,2012,35154945,4,Privada,São Paulo,RUA PROFESSOR JOAO BRITO,94,,VILA NOVA CONCEICAO,4535080,11,38450866,,38450866,,Em Atividade,31/1/2012,7/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,497704000111,497704000111,Não,,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,13,13,Não,Não,71,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,25,15,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,179,76,31,45,103,21,17,26,20,19,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,103,21,17,26,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCIERI CIAMPONE COLEGIO,Privada,FREGUESIA DO O,-46.6887445,-23.4983152,SAO PAULO,2012,35174336,4,Privada,São Paulo,R MANOEL CORREA,418,,VL PALMEIRAS,2728050,11,39311810,,,REGINAPIMPOLHO@TERRA.COM.BR,Em Atividade,1/2/2012,12/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,69129989000134,69129989000134,Não,,Não,Não,Não,Não,Sim,Sim,,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,22,22,Não,Sim,35,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,16,10,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,298,81,31,50,186,14,30,25,16,19,24,20,24,14,104,82,0,0,0,0,0,0,0,0,0,186,14,30,25,16,19,24,20,24,14,31,16,8,7,0,0,31,16,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
HUGO SARMENTO COLEGIO EFM,Privada,ALTO DE PINHEIROS,-46.6971061,-23.5441397,SAO PAULO,2012,35104887,4,Privada,São Paulo,RUA DOM ROSALVO,131,,SUMAREZINHO,5442030,11,36724832,,36724832,HS@HUGOSARMENTO.COM.BR,Em Atividade,30/1/2012,14/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,61046041000294,61046041000103,Não,,Sim,Não,Não,Não,Sim,Sim,,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,14,14,Não,Sim,50,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,35,20,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,300,49,31,18,206,20,24,13,31,20,21,22,15,40,108,98,0,0,0,0,0,0,0,0,0,206,20,24,13,31,20,21,22,15,40,45,20,13,12,0,0,45,20,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
ARTE DE VIVER INSTITUTO EDUCACIONAL,Privada,LAPA,-46.7032026,-23.5168644,SAO PAULO,2012,35142323,4,Privada,São Paulo,RUA FELIX GUILHEM,447,,LAPA DE BAIXO,5069000,11,36116630,,36116630,,Em Atividade,1/2/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,53585667000160,53585667000160,Não,,Não,Sim,Sim,Não,Sim,Não,,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,11,11,Não,Não,32,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,19,10,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,224,63,31,32,134,15,12,19,13,14,18,13,16,14,73,61,0,0,0,0,0,0,0,0,0,134,15,12,19,13,14,18,13,16,14,27,8,9,10,0,0,27,8,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
CR P CONV MISERICORDIA II,Privada,JARAGUA,-46.7113,-23.4316,SAO PAULO,2012,35449805,4,Privada,São Paulo,ANTONIO INACIO TORRES,18,,ESTANCIA JARAGUA,2997000,,39471279,,,CRECHEMISERICORDIA2@MISERICORDIA.COM.BR,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,4186468000173,4186468000173,Sim,Municipal,Não,Sim,Sim,Não,Não,Não,,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,3,3,Não,Não,9,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,,Não,0,0,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAT WAY ESCOLA DE EDUCACAO INFANTIL,Privada,MORUMBI,-46.71890208,-23.58837728,SAO PAULO,2012,35295619,4,Privada,São Paulo,RUA DOUTOR CLOVIS DE OLIVEIRA,488,,VILA PROGREDIOR,5616000,11,37272233,37214128,,PATWAY@IG.COM.BR,Em Atividade,2/1/2012,14/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,1007511000106,1007511000106,Não,,Sim,Sim,Sim,Não,Não,Não,,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,6,5,Não,Não,21,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,2,0,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,52,52,31,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORALES LOPES COLEGIO,Privada,JARAGUA,-46.7396609,-23.4559428,SAO PAULO,2012,35189443,4,Privada,São Paulo,RUA TURVANIA,128,,JARAGUA,5181200,11,39495147,39413678,,MORALESLOPES@UOL.COM.BR,Em Atividade,30/1/2012,11/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,954125000150,954125000150,Não,,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,33,33,Sim,Sim,94,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,38,28,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,1188,169,31,138,834,69,109,101,74,82,101,108,112,78,435,399,0,0,0,0,0,0,0,0,0,834,69,109,101,74,82,101,108,112,78,185,80,64,41,0,0,185,80,64,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
NICOLAU KERPEN COLEGIO,Privada,RIO PEQUENO,-46.7652202,-23.5818383,SAO PAULO,2012,35143571,4,Privada,São Paulo,AVENIDA DIOGO DE AZEVEDO,120,,VILA ANTONIO,5376140,11,37827411,37840561,37825111,,Em Atividade,31/1/2012,20/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,59829861000120,59829861000120,Não,,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,17,17,Não,Não,52,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,20,10,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,S,,,440,73,31,42,307,22,39,21,34,27,32,49,38,45,143,164,0,0,0,0,0,0,0,0,0,307,22,39,21,34,27,32,49,38,45,60,29,15,16,0,0,60,29,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAMA MIRAGLIA COLEGIO,Privada,CAMPO LIMPO,-46.7754225,-23.6359298,SAO PAULO,2012,35101138,4,Privada,São Paulo,RUA MARTINHO VAZ DE BARROS,502,,VILA PIRAJUSSARA,5786150,11,23689859,23689871,,GAMAMIRAGLIA@IG.COM.BR,Em Atividade,30/1/2012,19/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,68372036000130,68372036000130,Não,,Sim,Sim,Sim,Não,Sim,Não,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,10,10,Não,Sim,20,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,8,6,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,91,58,31,27,33,12,5,6,6,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,33,12,5,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
