PK_COD_ENTIDADE,ID_LATITUDE,ID_LONGITUDE,Nome_Escola,REDE,Municipio,NO_DISTRITO,Endereco,Nr_Endereco,Bairro,CEP,Telefone,Fax,Correio_Eletronico,Situacao_Funcionamento,ACESSIBILIDADE,DEPENDENCIAS_PNE,SANITARIO_PNE,REFEITORIO,DESPENSA,ALMOXARIFADO,AUDITORIO,LABORATORIO_INFORMATICA,LABORATORIO_CIENCIAS,SALA_ATENDIMENTO_ESPECIAL,QUADRA_ESPORTES_COBERTA,QUADRA_ESPORTES_DESCOBERTA,PATIO_COBERTO,PATIO_DESCOBERTO,PARQUE_INFANTIL,COZINHA,BIBLIOTECA,BERCARIO,SANITARIO_DENTRO_PREDIO,SANITARIO_FORA_PREDIO,SANITARIO_EI,BANHEIRO_CHUVEIRO,LAVANDERIA,DEPENDENCIAS_OUTRAS,NUM_SALAS_EXISTENTES,NUM_SALAS_UTILIZADAS,SALA_LEITURA,AREA_VERDE,NUM_FUNCIONARIOS,ALIMENTACAO,INTERNET,BANDA_LARGA,COMPUTADORES,NUM_COMPUTADORES,COMPUSOALUNOS,EQUIP_DVD,EQUIP_SOM,EQUIP_MULTIMIDIA,EQUIP_TV,EQUIP_VIDEOCASSETE,ABRE_FINAL_SEMANA,NESCCRECHER,MATCRECHE,Dependencia_Administrativa,CATESCPRIVADA,
35052097,-46.6191,-23.5241,EMEI CASPER LIBERO,Pública,SAO PAULO,PARI,RUA COMENDADOR NESTOR PEREIRA,146,CANINDE,3034070,33264631,32283514,EMEICLIBERO@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,6,6,Não,Não,24,Sim,Sim,Possui,Sim,22,19,Sim,Sim,Sim,Sim,Sim,Não,1,25,Municipal,,
35052164,-46.74,-23.4853,EMEI AFONSO SARDINHA,Pública,SAO PAULO,PIRITUBA,AVENIDA MUTINGA,1406,PIRITUBA,5110000,39045459,39045459,EMEIASARDINHA@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,7,7,Sim,Sim,46,Sim,Sim,Possui,Sim,23,17,Sim,Sim,Sim,Sim,Sim,Não,1,49,Municipal,,
35052188,-46.7523,-23.4718,EMEI PEROLA ELLIS BYINGTON,Pública,SAO PAULO,PIRITUBA,RUA MAJOR ALFREDO ROMAO,65,VILA CLARICE,5177030,39015006,39043738,EMEIPEBYNGTON@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,4,4,Não,Sim,32,Sim,Sim,Possui,Sim,22,12,Sim,Sim,Sim,Sim,Sim,Não,1,47,Municipal,,
35052197,-46.7168,-23.4879,EMEI OLGA MARIA GERMANO MARTINS DOMINGOS PROFA,Pública,SAO PAULO,PIRITUBA,BALTAZAR DE GODOY,SN,VILA BONILHA,2935110,39755315,39997003,EMEIOLGADOMINGOS@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,3,3,Não,Não,27,Sim,Sim,Possui,Sim,14,7,Sim,Sim,Sim,Sim,Sim,Não,1,25,Municipal,,
35052224,-46.6176,-23.4902,EMEI ARTHUR ETZEL,Pública,SAO PAULO,SANTANA,PARQUE DOMINGOS LUIS,20,JARDIM SAO PAULO,2043080,29731598,29731598,EMEIAETZEL@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não,5,5,Não,Não,38,Sim,Sim,Possui,Sim,21,17,Sim,Sim,Sim,Sim,Não,Sim,1,24,Municipal,,
35052243,-46.62985992,-23.50701784,EMEI JOSE BONIFACIO DE ANDRADA E SILVA,Pública,SAO PAULO,SANTANA,RUA DOUTOR CESAR,581,SANTANA,2013002,,29739457,EMEIJBSILVA@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,7,7,Não,Não,48,Sim,Sim,Possui,Sim,19,15,Sim,Sim,Sim,Sim,Sim,Não,1,49,Municipal,,
35052401,-46.5755,-23.5463,EMEI IRENE FAVRET LOPES PROFA,Pública,SAO PAULO,TATUAPE,RUA JARINU,640,CIDADE MAE DO CEU,3306000,22963706,22960970,EMEIFLOPES@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,3,3,Não,Não,34,Sim,Sim,Possui,Sim,14,9,Sim,Sim,Sim,Sim,Sim,Não,1,25,Municipal,,
35052516,-46.584,-23.4647,EMEI OTTILIA DE JESUS PIRES PROFA,Pública,SAO PAULO,JACANA,SAO LUIZ GONZAGA,62,JACANA,2274150,22417528,,EMEIOJPIRES@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,8,8,Não,Não,49,Sim,Sim,Possui,Sim,20,17,Sim,Sim,Não,Sim,Sim,Não,1,100,Municipal,,
35052589,-46.5914,-23.5006,EMEI EDUARDO CARLOS PEREIRA,Pública,SAO PAULO,VILA MARIA,GENERAL MENDES,46,VILA MARIA ALTA,2127020,29544340,29546177,EMEIEDU@ITELEFONICA.COM.BR,Em Atividade,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,7,9,Sim,Não,37,Sim,Sim,Não possui,Sim,15,12,Sim,Sim,Não,Sim,Sim,Não,1,45,Municipal,,
35052590,-46.5663,-23.5217,EMEI ANA NERI,Pública,SAO PAULO,VILA MARIA,RUA SOLDADO ALBINO CESAR,25,PARQUE NOVO MUNDO,2180010,29540558,29540558,,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,8,8,Sim,Não,38,Sim,Sim,Possui,Sim,5,0,Sim,Sim,Sim,Sim,Sim,Não,1,75,Municipal,,
35052619,-46.5751,-23.4997,EMEI YUKIO OZAKI PROF,Pública,SAO PAULO,VILA MARIA,YEDO,SN,VILA MARIA ALTA,2134050,22122821,,EMEIYOZAKI@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,4,4,Sim,Não,31,Sim,Sim,Possui,Sim,20,17,Sim,Sim,Sim,Sim,Sim,Não,1,37,Municipal,,
35052620,-46.5871,-23.5192,EMEI LOURENCO FILHO PROF,Pública,SAO PAULO,VILA MARIA,RUA DOM LUIS FELIPE DE ORLEANS,1062,VILA MARIA BAIXA,2118001,29540239,29544860,EMEILOURENCO@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,8,8,Não,Sim,48,Sim,Sim,Possui,Sim,5,0,Sim,Sim,Sim,Sim,Não,Não,1,125,Municipal,,
35052772,-46.4083,-23.5663,EMEI TOMAS GALHARDO,Pública,SAO PAULO,CIDADE TIRADENTES,INACIO PINTO LIMA,79,CONJUNTO RESIDENCIAL PRESTES MAIA,8490020,25552757,25553256,EMEITGALHARDO@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,5,5,Não,Não,37,Sim,Sim,Possui,Sim,18,15,Sim,Sim,Sim,Sim,Não,Não,1,19,Municipal,,
35052784,-46.44352531,-23.53142296,EMEI ANTONIO GONCALVES DIAS,Pública,SAO PAULO,ITAQUERA,RUA ANTONIO MOURA ANDRADE,395,JARDIM REDIL,8210660,22050986,22050986,EMEIAGDIAS@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,8,7,Não,Não,35,Sim,Sim,Não possui,Sim,21,17,Sim,Sim,Sim,Sim,Sim,Não,1,25,Municipal,,
35052814,-46.5031,-23.5704,CEU EMEI JOSE GASPAR D,Pública,SAO PAULO,CIDADE LIDER,OLGA FADEL ABARCA,SN,JARDIM SANTA TEREZINHA ZONA LESTE,3572020,27237520,,,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,10,10,Não,Não,40,Sim,Sim,Possui,Sim,24,18,Sim,Sim,Sim,Sim,Sim,Não,1,96,Municipal,,
35052875,-46.442,-23.5961,EMEI PESTALOZZI,Pública,SAO PAULO,IGUATEMI,ABNER RIBEIRO BORGES,154,JARDIM ROSELI,8380045,27312774,27361841,EMEIPESTALOZZI@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,8,8,Sim,Não,43,Sim,Sim,Possui,Sim,24,17,Sim,Sim,Sim,Sim,Não,Não,1,25,Municipal,,
35052899,-46.4932,-23.6102,EMEI VICENTE DE CARVALHO,Pública,SAO PAULO,SAPOPEMBA,RUA VICTORIA MARCONATO ZONTA,60,JARDIM SAPOPEMBA,3975090,29191017,,EMEIVCARVALHO@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,6,6,Sim,Não,38,Sim,Sim,Não possui,Sim,21,17,Sim,Sim,Sim,Sim,Sim,Não,1,50,Municipal,,
35052905,-46.7296,-23.4507,EMEI FERNANDO DE AZEVEDO,Pública,SAO PAULO,JARAGUA,RUA BARRA DA FORQUILHA,510,PARQUE PANAMERICANO,2993000,39412362,39412362,EMEIFAZEVEDO@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,8,8,Não,Sim,41,Sim,Sim,Possui,Sim,21,16,Sim,Sim,Sim,Sim,Sim,Não,1,50,Municipal,,
35052929,-46.7534,-23.4081,EMEI OLIVEIRA LIMA,Pública,SAO PAULO,PERUS,RUA ANTONIO MAIA,476,VILA PERUS,5204110,39170011,,EMEIOLIMA@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,8,8,Não,Sim,42,Sim,Sim,Possui,Sim,20,17,Sim,Sim,Sim,Sim,Sim,Não,1,50,Municipal,,
35052978,-46.4158,-23.4917,EMEI MARIA QUITERIA,Pública,SAO PAULO,JARDIM HELENA,MARFIM VEGETAL,126,PARQUE PAULISTANO,8081330,25865247,25865247,EMEIMQUITERIA@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,5,5,Não,Não,42,Sim,Sim,Possui,Sim,24,17,Sim,Sim,Sim,Sim,Sim,Não,1,25,Municipal,,
35056704,-46.6445,-23.705,CEU CEI ALVARENGA,Pública,SAO PAULO,PEDREIRA,ESTRADA DO ALVARENGA,3752,BALNEARIO SAO FRANCISCO,4474340,56722551,,CEICEUALVARENGA@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,14,14,Não,Sim,82,Sim,Sim,Possui,Sim,5,0,Sim,Sim,Sim,Sim,Sim,Não,1,226,Municipal,,
35056972,-46.5031,-23.5704,CEU CEI DIRCE MIGLIACCIO,Pública,SAO PAULO,CIDADE LIDER,OLGA FADEL ABARCA,SN,JARDIM SANTA TEREZINHA ZONA LESTE,3572020,27237538,27237515,CEICEUDIRCEMIGLIACCIO@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,14,14,Não,Não,65,Sim,Sim,Possui,Sim,4,0,Sim,Sim,Não,Sim,Sim,Não,1,254,Municipal,,
35057022,-46.7508,-23.5824,CEU EMEI BUTANTA,Pública,SAO PAULO,RIO PEQUENO,AVENIDA ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA,1870,JARDIM ESMERALDA,5588001,37324527,37324531,EMEICEUBUTANTA@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,9,9,Sim,Não,24,Sim,Sim,Possui,Sim,6,0,Sim,Sim,Sim,Sim,Sim,Não,1,20,Municipal,,
35057034,-46.7508,-23.5824,CEU CEI BUTANTA,Pública,SAO PAULO,RIO PEQUENO,AVENIDA ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA,1870,JARDIM ESMERALDA,5564000,37324512,,CEICEUBUTANTA@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,14,14,Não,Não,53,Sim,Sim,Possui,Sim,4,0,Não,Sim,Sim,Sim,Sim,Não,1,245,Municipal,,
35057289,-46.7047,-23.7109,CEU CEI CIDADE DUTRA,Pública,SAO PAULO,CIDADE DUTRA,INTERLAGOS,7350,CIDADE DUTRA,4777000,56681911,,CEICEUCIDADEDUTRA@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,15,15,Não,Não,74,Sim,Sim,Possui,Sim,5,0,Sim,Sim,Sim,Sim,Sim,Não,1,329,Municipal,,
35057548,-46.4115,-23.5699,CEU CEI JOSELY MARIA CARDOSO BENTO,Pública,SAO PAULO,CIDADE TIRADENTES,RUA BARAO BARROSO DO AMAZONAS,SN,COHAB INACIO MONTEIRO,8472721,25189033,25189034,CEICEUINACIOMONTEIRO@PREFEITURA.SP.GOV.BR,Em Atividade,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,14,14,Não,Não,73,Sim,Sim,Não possui,Sim,4,0,Sim,Sim,Sim,Sim,Sim,Não,1,319,Municipal,,
35057605,-46.4229,-23.5387,CEU CEI EVANIR APARECIDA HILARIO PROFA,Pública,SAO PAULO,LAJEADO,JOSE PINHEIRO BORGES,60,JARDIM HELENA,8420092,29602013,29602012,CEICEUEVANIRAHILARIO@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,15,15,Não,Não,71,Sim,Sim,Possui,Sim,5,0,Sim,Sim,Sim,Sim,Não,Não,1,270,Municipal,,
35057691,-46.5831,-23.6212,CEU CEI MENINOS,Pública,SAO PAULO,SACOMA,RUA BARBINOS,111,SAO JOAO CLIMACO,4240110,29452513,,CEICEUMENINOS@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,14,14,Não,Não,63,Sim,Sim,Possui,Sim,5,0,Sim,Sim,Não,Sim,Sim,Não,1,288,Municipal,,
35057812,-46.6602,-23.7439,CEU CEI NAVEGANTES,Pública,SAO PAULO,GRAJAU,RUA MARIA MOASSAB BARBOUR,SN,CANTINHO DO CEU,4849503,59765519,,CEICEUNAVEGANTES@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,15,15,Não,Não,74,Sim,Sim,Possui,Sim,5,0,Sim,Sim,Sim,Sim,Não,Não,1,347,Municipal,,
35057873,-46.4736,-23.5097,CEU CEI PARQUE SAO CARLOS,Pública,SAO PAULO,VILA JACUI,CLAREAR,643,JARDIM SAO CARLOS ZONA LESTE,8062590,20454240,20454236,CEICEUPQSAOCARLOS@PREFEITURA.SP.GOV.BR,Em Atividade,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,14,14,Sim,Não,75,Sim,Sim,Possui,Sim,4,0,Sim,Sim,Sim,Sim,Não,Não,1,323,Municipal,,
35057915,-46.3897,-23.5134,CEU CEI PARQUE VEREDAS,Pública,SAO PAULO,ITAIM PAULISTA,DANIEL MULLER,347,CHACARA DONA OLIVIA,8141290,25636216,,,Em Atividade,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,14,14,Sim,Não,75,Sim,Sim,Possui,Sim,4,0,Sim,Sim,Sim,Sim,Sim,Não,1,358,Municipal,,
